Project Name,Web Url,Years,Languages,GPA,Pull Request,Files,Active Branch,Total Issues,C++,C,C#,Python,Shell,Powershell,YAML,R,CSS,Dockerfile,PHP,Javascript,Java,Kotlin,Swift,JS,CSS,HTML,Ruby,Go,Complexcity,Style,Performance,Maintainability,Security
luminoth,tryolabs/luminoth: Deep Learning toolkit for Computer Vision. (github.com),2017,Python,A,9, 109 ,1,22,,,,19,,,,,,,,,,,,,3,,,,7,,,9,6
gocv,hybridgroup/gocv: Go package for computer vision using OpenCV 4 and beyond. (github.com),2017,Go,A- ,20, 199 ,1,104,10,,,,,,,,,,,,,,,,,,,94,23,9,,72,
pytorch-gard-cam,"jacobgil/pytorch-grad-cam: Advanced AI Explainability for computer vision. Support for CNNs, Vision Transformers, Classification, Object detection, Segmentation, Image similarity and more. (github.com)",2021,Python,A,15, 37 ,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
scenic,google-research/scenic: Scenic: A Jax Library for Computer Vision Research and Beyond (github.com),2021,Python,B-,104, 625 ,1,4679,,,,4679,,,,,,,,,,,,,,,,,81,445,,4147,6
training_extensions,"openvinotoolkit/training_extensions: Train, Evaluate, Optimize, Deploy Computer Vision Models via OpenVINO™ (github.com)",2021,Python,A,14," 1,889 ",1,198,,,,198,,,,,,,,,,,,,,,,,55,,,135,8
openMVG,openMVG/openMVG: open Multiple View Geometry library. Basis for 3D computer vision and Structure from Motion. (github.com),2015,C++,A,31, 635 ,2,477,461,11,,,,,,,1,1,,,,,,,1,,,,78,394,,5,
ffcv,libffcv/ffcv: FFCV: Fast Forward Computer Vision (and other ML workloads!) (github.com),2022,Python,A,10, 96 ,1,65,,,,62,,,,,,2,,,,,,,,,,,2,,,39,24
ml-cvnet,apple/ml-cvnets: CVNets: A library for training computer vision networks (github.com),2021,Python,A,6, 497 ,1,49,,,,49,,,,,,,,,,,,,,,,,21,,,18,10
EasyCV,alibaba/EasyCV: An all-in-one toolkit for computer vision (github.com),2022,Python,A,4," 1,129 ",1,271,,,,,,,,,,,,,,,,,,,,,69,7,,146,49
ImageAI,OlafenwaMoses/ImageAI: A python library built to empower developers to build applications and systems with self-contained Computer Vision capabilities (github.com),2018,Python,B+,22, 112 ,1,494,,,,494,,,,,,,,,,,,,,,,,24,,,466,4
Face-Mask-Detection,chandrikadeb7/Face-Mask-Detection: Face Mask Detection system based on computer vision and deep learning using OpenCV and Tensorflow/Keras (github.com),2022,Jupyter Notebook,A,6, 14 ,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,
fiftyone,voxel51/fiftyone: The open-source tool for building high-quality datasets and computer vision models (github.com),2021,Python,C,71," 1,229 ",1,8186,,,,7220,1,,,,81,5,,734,,,,109,81,,,,228,1749,,6093,116
opencv-processing,atduskgreg/opencv-processing: OpenCV for Processing. A creative coding computer vision library based on the official OpenCV Java API (github.com),2013,Java,B+,2, 11 ,1,5,,,,,,,,,1,,,,3,,,,,,,,1,,,4,
BoofCV,"lessthanoptimal/BoofCV: Fast computer vision library for SFM, calibration, fiducials, tracking, image processing, and more. (github.com)",2014,Java,A,0," 4,464 ",1,2522,,,,8,,,,,,,,,2514,,,,,,,,309,,,2213,
super-gradients,Deci-AI/super-gradients: Easily train or fine-tune SOTA computer vision models with one open source training library. The home of Yolo-NAS. (github.com),2021,Jupyter Notebook,A,11, 768 ,1,78,,,,,,,,,,,,,,,,,,,,,24,,,45,9
CV-CUDA,"CVCUDA/CV-CUDA: CV-CUDA™ is an open-source, GPU accelerated library for cloud-scale image processing and computer vision. (github.com)",2022,C++,A,2, 935 ,1,214,166,,,36,3,,,,4,5,,,,,,,,,,,59,110,,12,33
ComputeLibrary,ARM-software/ComputeLibrary: The Compute Library is a set of computer vision and machine learning functions optimised for both Arm CPUs and GPUs using SIMD technologies. (github.com),2017,C++,A,0," 3,789 ",1,593,533,,,14,42,,,,,,,,,,,,2,,,2,233,304,8,44,4
deepgaze,"mpatacchiola/deepgaze: Computer Vision library for human-computer interaction. It implements Head Pose and Gaze Direction Estimation Using Convolutional Neural Networks, Skin Detection through Backprojection, Motion Detection and Tracking, Saliency Map. (github.com)",2017,Python,A,2, 54 ,1,37,,,,37,,,,,,,,,,,,,,,,,5,,,32,
pcv,jesolem/PCV: Open source Python module for computer vision (github.com),2022,Python,A,4, 68 ,1,25,,,,24,1,,,,,,,,,,,,,,,,,,,15,10
vlfeat,vlfeat/vlfeat: An open library of computer vision algorithms (github.com),2011,C,A- ,29, 193 ,1,215,15,79,,106,1,,,,14,,,,,,,,,,,,79,12,1,120,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
